codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
3786-A,1,431,2,2020-08-08,1
3788-AN,1,655,2,2020-08-08,1
378-AC,1,2108,2,2020-08-08,1
3794-AN,1,535,2,2020-08-08,1
3796-AN,1,483,2,2020-08-08,1
3798-A,1,298,2,2020-08-08,1
3800-AC,1,363,2,2020-08-08,1
3802-ACB,1,1554,2,2020-08-08,1
3806-AC,1,373,2,2020-08-08,1
3808-A,1,320,2,2020-08-08,1
380-AC,1,274,2,2020-08-08,1
3810-AC,1,799,2,2020-08-08,1
3812-AN,1,489,2,2020-08-08,1
3814-AC,1,369,2,2020-08-08,1
3816-AN,1,374,2,2020-08-08,1
3818-AN,1,431,2,2020-08-08,1
381-AC 0.4,1,370,2,2020-08-08,1
381-AC 0.8,1,474,2,2020-08-08,1
381-AC STD,1,323,2,2020-08-08,1
3820-AN,1,1163,2,2020-08-08,1
3826-AN,1,1177,2,2020-08-08,1
3822-AN,1,401,2,2020-08-08,1
3824-AN,1,1017,2,2020-08-08,1
3828-AN,1,568,2,2020-08-08,1
382-AC,1,826,2,2020-08-08,1
3830-AC,1,380,2,2020-08-08,1
3836-AN,1,524,2,2020-08-08,1
3834-AC,1,464,2,2020-08-08,1
3842-A,1,362,2,2020-08-08,1
3838-AN,1,284,2,2020-08-08,1
3844-AC,1,334,2,2020-08-08,1
3840-AN,1,455,2,2020-08-08,1
3846-ACB,1,386,2,2020-08-08,1
3848-AP,1,623,2,2020-08-08,1
384-A,1,527,2,2020-08-08,1
3850-AC,1,1019,2,2020-08-08,1
3852-AC,1,569,2,2020-08-08,1
3854-AN,1,554,2,2020-08-08,1
3856-AC,1,410,2,2020-08-08,1
3858-ACB,1,417,2,2020-08-08,1
3860-A,1,297,2,2020-08-08,1
3862-A,1,316,2,2020-08-08,1
3864-A,1,328,2,2020-08-08,1
3868-A,1,307,2,2020-08-08,1
3870-A,1,326,2,2020-08-08,1
3872-A,1,1109,2,2020-08-08,1
3876-AN,1,428,2,2020-08-08,1
3880-AN,1,362,2,2020-08-08,1
3882-AN,1,376,2,2020-08-08,1
3884-A,1,348,2,2020-08-08,1
3886-A,1,335,2,2020-08-08,1
3888-AC,1,1253,2,2020-08-08,1
3890-AN,1,924,2,2020-08-08,1
3892-AN,1,900,2,2020-08-08,1
3894-AN,1,930,2,2020-08-08,1
3896-AN,1,409,2,2020-08-08,1
3904-AC,1,368,2,2020-08-08,1
3910-AN,1,540,2,2020-08-08,1
3912-AC,1,268,2,2020-08-08,1
3914-ACB,1,733,2,2020-08-08,1
3918-AC,1,688,2,2020-08-08,1
3920-AC,1,807,2,2020-08-08,1
3922-ACB,1,1209,2,2020-08-08,1
3924-A,1,1134,2,2020-08-08,1
3926-ACB,1,2378,2,2020-08-08,1
3928-AX,1,2337,2,2020-08-08,1
3932-AN,1,462,2,2020-08-08,1
3934-AN,1,391,2,2020-08-08,1
3930-AN,1,394,2,2020-08-08,1
3936-AN,1,430,2,2020-08-08,1
3938-A,1,680,2,2020-08-08,1
3954-AC,1,425,2,2020-08-08,1
3940-AC 0.4,1,559,2,2020-08-08,1
3940-AC STD,1,549,2,2020-08-08,1
3942-AN,1,387,2,2020-08-08,1
3952-AN,1,217,2,2020-08-08,1
3946-AN,1,863,2,2020-08-08,1
3950-AN,1,310,2,2020-08-08,1
3948-AN,1,904,2,2020-08-08,1
3958-A,1,768,2,2020-08-08,1
3956-AC,1,391,2,2020-08-08,1
3960-AN,1,808,2,2020-08-08,1
3962-AN,1,409,2,2020-08-08,1
3964-APN,1,532,2,2020-08-08,1
3970-AN,1,243,2,2020-08-08,1
3974-AN,1,318,2,2020-08-08,1
3972-A,1,771,2,2020-08-08,1
3976-AC,1,359,2,2020-08-08,1
3976-AC+10,1,405,2,2020-08-08,1
3978-AC,1,434,2,2020-08-08,1
3980-AC,1,1553,2,2020-08-08,1
3984-AN,1,313,2,2020-08-08,1
3998-AC,1,391,2,2020-08-08,1
